id	title_original	title_translation	work_year	published_at	version_year	record_type	medium	materials_technology	dimensions	venues	mechanism	themes	official_url	source_ids	image_count	completeness	review_status
daito-manabe--brain-processing-unit--2025	Brain Processing Unit — The Future Where Biology and Computer Integrate	脑处理单元——生物与计算机融合的未来	2025	2025-02-01		research_exhibition	research exhibition | bio-art | art-science collaboration	cerebral organoids | iPS-cell-derived neural tissue | multi-electrode arrays | electrical stimulation | connectoids | APIs | robot control	3 works + research area + talk program	fil, Ebisu, Tokyo, 1–9 Feb 2025	培养神经回路接受电刺激并通过电极阵列测量活动，接口把复杂实验流程模块化；作品把脑类器官的反应连接到音乐识别、机器人控制与生命节律研究。	brain organoid | biological computing | art and science | rhythm | alternative intelligence	https://daito.ws/projects/brain-processing-unit/en/	src-work-bpu | src-ars-bpu	1	complete	needs_review
daito-manabe--phase-forms--2025	Phase Forms	相位形态	2025	2025-06-12		work	audiovisual live performance | electronic music	mathematical polyrhythms | DSP synthesis | real-time graphics | laser | interactive control	75 minutes	Sónar Barcelona, 2025	复节奏和相位关系同时组织声音合成、视觉参数与激光控制；表演不是给音乐添加可视化，而是让多种媒介共享一个可演奏的时间系统。	polyrhythm | audiovisual performance | phase | synthesis | live coding	https://daito.ws/en/archive/daito-manabe-phase-forms2025/	src-work-phase-forms | src-daito-profile	1	complete	needs_review
daito-manabe--continuum-resonance--2024	Continuum Resonance	连续的共鸣	2024	2024-09-06		commission	solo exhibition | spatial audiovisual installation | generative sound installation	PolyNodes | 3D architectural scan | audience-position sensing | multi-channel sound | real-time visualization | projection | augmented reality	four installations across VS. STUDIO A/B/C and V Space	VS., Grand Green Osaka, 6 Sep–14 Oct 2024	建筑扫描和观众位置进入 PolyNodes 的宏观/中观/微观参数，驱动声音位置、强度和音色变化；同一数据同步生成投影、阴影和 AR 结构。	spatial sound | architecture | generative synthesis | audience data | Xenakis	https://daito.ws/projects/selected-works/continuum-resonance/en/	src-work-continuum-resonance | src-vs-continuum	1	complete	needs_review
daito-manabe--generative-mv--2023	Generative MV	生成式音乐影像	2023	2023-12-16		work	interactive music video | AI installation	green-screen video | real-time generative AI | audience text input | image effects | interactive interface	installation; dimensions not stated	NTT InterCommunication Center [ICC], Tokyo, 16 Dec 2023–10 Mar 2024	界面接收观众提示词，生成模型把预先拍摄的人物前景与动态背景效果合成；持续输入让音乐影像从固定成片变成可共同改写的展览系统。	real-time AI | audience prompt | music video | archive | participation	https://daito.ws/projects/selected-works/generative-mv/en/	src-work-generative-mv | src-icc-generative-mv	1	complete	needs_review
daito-manabe--transformirror--2023	Transformirror	变形镜	2023	2023-12-15	2023–2026	project	interactive installation | real-time generative mirror	webcam | SDXL Turbo | real-time image-to-image diffusion | Stable Audio | large LED display | text-to-music	varies by venue	W Osaka, 15–25 Dec 2023 | KIKK Festival, Namur, 2024 | FILE São Paulo, 2025 | The Tech Interactive, San Jose, 2026	摄像头持续捕捉观众，SDXL Turbo 以约实时速度执行 image-to-image；提示、身体姿态、生成图像与 Stable Audio 声音形成循环，时间一致性与低延迟成为关键工程问题。	AI mirror | real-time diffusion | public interaction | body image | temporal consistency	https://daito.ws/projects/selected-works/transformirror/en/	src-work-transformirror | src-daito-selected-works	1	complete	needs_review
daito-manabe--border-2021--2021	border 2021	边界 2021	2021	2021-02-01	2021	work	immersive dance performance | virtual reality | mobility experience	VR headsets | program-controlled mobility vehicles | LED | motion capture | network synchronization	site-specific performance	Tokyo, 2021	载具路径、头显影像、现场舞者与空间灯光同步；观众的身体被系统实际搬运，使视觉运动与前庭、本体感觉之间的偏差成为作品核心。	virtual reality | embodiment | mobility | choreography | fiction and reality	https://daito.ws/en/archive/border-2021/	src-work-border-2021 | src-daito-profile	1	complete	needs_review
daito-manabe--tokyo-2020-2021--2021	TOKYO 2020-2021	东京 2020–2021	2021	2021-07-01		commission	generative-AI installation | public artwork | text and image installation	Node.js | Puppeteer | Yahoo! News comments | rinna japanese-gpt2-medium | Hugging Face Transformers | SentencePiece | VQGAN+CLIP | LED display | mosaic lens	site-specific outdoor installation	Pavilion Tokyo 2021, WATARI-UM open space, Tokyo, 1 Jul–5 Sep 2021	抓取 577 篇新闻及评论，筛选语料微调 rinna GPT-2；官方口号被翻译为图像提示交给 VQGAN+CLIP。LED 与马赛克透镜控制文字的可读距离，使接近行为成为观看过滤器。	public discourse | generative AI | data scraping | Olympics | pandemic | algorithmic bias	https://daito.ws/projects/selected-works/tokyo2020-2021/en/	src-work-tokyo2020-2021 | src-daito-selected-works	1	complete	needs_review
daito-manabe--terminal-slam--2020	Squarepusher “Terminal Slam” MV	Squarepusher《Terminal Slam》音乐影像	2020	2020-01-28		work	music video | diminished reality | machine-learning image production	object detection | semantic segmentation | depth estimation | image inpainting | manual annotation | Max | C++ | Spleeter	single-channel music video		机器学习负责物体、人物和深度估计，人工补充周期变化的广告位置；各数据层生成遮罩并进入修补与故障合成管线，声音分轨控制视觉事件。	diminished reality | urban interface | machine learning | advertising | image manipulation	https://daito.ws/projects/selected-works/terminal-slam/en/	src-work-terminal-slam | src-ars-terminal-slam	1	complete	needs_review
daito-manabe--discrete-figures--2018	discrete figures	离散形体	2018	2018-04-13		work	dance performance | audiovisual performance	machine learning | motion capture | projection | real-time graphics | drone	stage-scale	New National Theatre Tokyo, 2018	动捕数据训练或驱动生成系统，真实舞者、投影中的合成运动和舞台装置在实时坐标中对齐；模型输出既是影像，也是新的编舞材料。	machine learning | dance | synthetic body | motion data | co-creation	https://daito.ws/en/archive/discrete-figures/	src-work-discrete-figures | src-jmaf-profile	1	partial	needs_review
daito-manabe--dissonant-imaginary--2018	dissonant imaginary	不协和的想象	2018	2020-04-28		work	audiovisual work | research presentation	fMRI | brain decoding | machine learning | image reconstruction | data visualization	16 minutes (16 × 1-minute sections)		实验数据训练或驱动图像重建模型；听觉刺激引发的脑活动被映射为逐步变化的图像，使模型误差和神经表征差异成为视觉语言。	brain decoding | cross-modal imagination | machine learning | neuroscience | reconstruction	https://daito.ws/en/archive/dissonant-imaginary/	src-work-dissonant-imaginary | src-daito-profile	1	partial	needs_review
daito-manabe--light-field-theater--2018	Light Field Theater	光场剧场	2018	2018-11-15		work	light performance | installation	LED | lens array | robot arm | light-field reconstruction | computational light	duration 1 minute; installation dimensions not stated	NTT InterCommunication Center [ICC], Tokyo, 2018	LED 与透镜阵列重建具有方向信息的光线，机器人臂改变光学单元位置；计算生成的光场和实际空间中的光被同步编排。	computational light | real and virtual | optics | robotics | perception	https://daito.ws/en/archive/light-field-theater/	src-work-light-field-theater | src-icc-light-field-theater	1	complete	needs_review
daito-manabe--morphecore--2018	morphecore	morphecore（暂不译）	2018		2020–2022	project	lecture-performance | dance research | audiovisual installation	fMRI | brain decoding | pose reconstruction | motion manipulation | avatar		Ars Electronica context, 2022	脑活动被解码为姿态数据，姿态再转为数字化身与编舞序列；系统主动改变物理约束，使“被想象的身体”与现实身体分离。	brain decoding | choreography | avatar | body without body | neuroscience	https://daito.ws/en/archive/morphecore/	src-work-morphecore | src-ars-morphecore	1	partial	conflicting
daito-manabe--bjork-quicksand-digital-livestreaming--2016	Björk “Quicksand” Digital Live Streaming	Björk《Quicksand》数字直播	2016	2016-06-27		work	360-degree VR live stream | music performance | audiovisual production	360-degree video | virtual reality | real-time graphics | motion tracking | lighting control	live-broadcast system	Miraikan, Tokyo, 2016	现场摄影、表演者追踪、图形生成和灯光控制在同一时间基准上运行，观众通过可自由转向的球形影像进入被扩展的舞台。	live media | immersive video | music visualization | real-time systems | remote presence	https://daito.ws/en/archive/bjork-making-of-bjork-digital-livestreaming/	src-work-bjork-quicksand | src-daito-profile	1	partial	needs_review
daito-manabe--24-drones--2015	“24 drones” ELEVENPLAY × Rhizomatiks Research	《24 架无人机》ELEVENPLAY × Rhizomatiks Research	2015	2015-09-18		work	dance performance | robotic light performance	24 compact drones | motion capture | drone control | moving lights | real-time programming	stage-scale	spiral hall, Tokyo, 2015	动捕与飞行控制协调舞者、无人机和灯光的时空关系；预编路径和现场反馈共同约束机器群，使人类身体与自动化物体形成编舞。	choreography | robotics | collective motion | risk | human-machine performance	https://daito.ws/en/archive/elevenplay-rhizomatiks-research-3-dancers-and-24-drones/	src-work-24-drones | src-jmaf-profile	1	complete	needs_review
